placa,marca,recorrido,horas_op,dias_desde_mantenimiento,prediccion_tipo,probabilidad,dias_restantes,fecha_sugerida
EB 41-0053,CATERPILLAR,57.4078,55,569.0,Correctivo,94%,3650,28/05/2035
EB 41-0053,CATERPILLAR,57.4078,55,569.0,Correctivo,94%,3650,28/05/2035
EB 41-0047,CATERPILLAR,61.0078,55,,Correctivo,80%,3650,28/05/2035
EB 41-0047,CATERPILLAR,61.0078,55,,Correctivo,80%,3650,28/05/2035
EB 44-0029,XCMG,61.1957,55,,Correctivo,80%,3650,28/05/2035
EB 44-0029,XCMG,61.1957,55,,Correctivo,80%,3650,28/05/2035
EB 43-0030,XCMG,215.4935,55,872.0,Preventivo,17%,3650,28/05/2035
EB 46-0024,XCMG,223.1935,55,872.0,Preventivo,17%,3650,28/05/2035
EB 41-0131,XCMG,722.6957,55,,Correctivo,53%,3650,28/05/2035
EB 41-0131,XCMG,722.6957,55,,Correctivo,53%,3650,28/05/2035
EB 41-0135,XCMG,1346.9957,55,844.0,Correctivo,83%,3650,28/05/2035
EB 41-0135,XCMG,1346.9957,55,844.0,Correctivo,83%,3650,28/05/2035
EB 41-0133,XCMG,1878.5195,55,694.0,Preventivo,7%,3000,16/08/2033
EB 41-0133,XCMG,1878.5195,55,694.0,Preventivo,7%,3000,16/08/2033
EB 41-0133,XCMG,1878.5195,55,694.0,Preventivo,7%,3000,16/08/2033
EB 41-0133,XCMG,1878.5195,55,694.0,Preventivo,7%,3000,16/08/2033
EB 46-0026,XCMG,4289.7956,56,755.0,Correctivo,89%,1004,28/02/2028
EB 46-0026,XCMG,4289.7956,56,755.0,Correctivo,89%,1004,28/02/2028
EB 46-0035,XCMG,5584.6934,56,,Preventivo,5%,503,15/10/2026
EB 46-0035,XCMG,5584.6934,56,,Preventivo,5%,503,15/10/2026
EB 46-0025,XCMG,5793.1956,56,1091.0,Correctivo,93%,792,31/07/2027
EB 46-0025,XCMG,5793.1956,56,1091.0,Correctivo,93%,792,31/07/2027
2982EFB,BEIBEN TRUCK,13244.9936,57,362.0,Preventivo,1%,0,30/05/2025
2982THY,BEIBEN TRUCK,29280.9931,59,,Preventivo,4%,0,30/05/2025
2982IAK,BEIBEN TRUCK,44302.9929,60,872.0,Preventivo,7%,0,30/05/2025
2982HND,BEIBEN TRUCK,46458.9928,61,872.0,Preventivo,7%,0,30/05/2025
2982HUY,BEIBEN TRUCK,48290.995,61,,Preventivo,19%,0,30/05/2025
2982HUY,BEIBEN TRUCK,48290.995,61,878.0,Correctivo,96%,0,30/05/2025
2982TAU,BEIBEN TRUCK,62671.9926,63,872.0,Preventivo,7%,0,30/05/2025
2982FLX,GREAT WALL HAVAL GWM,66472.0186,63,,Preventivo,13%,0,30/05/2025
2982FLX,GREAT WALL HAVAL GWM,66546.0186,63,,Preventivo,13%,0,30/05/2025
2982FNB,BEIBEN TRUCK,67773.9947,63,,Preventivo,31%,0,30/05/2025
2982FNB,BEIBEN TRUCK,67773.9947,63,,Preventivo,31%,0,30/05/2025
2921EYX,GREAT WALL HAVAL GWM,87198.0183,66,,Preventivo,3%,0,30/05/2025
2921EYX,GREAT WALL HAVAL GWM,87198.0183,66,,Preventivo,3%,0,30/05/2025
3625DGA,NISSAN,123764.9933,70,,Preventivo,3%,0,30/05/2025
3625DGA,NISSAN,123764.9933,70,,Preventivo,3%,0,30/05/2025
3625DGA,NISSAN,123764.9933,70,,Preventivo,3%,0,30/05/2025
3625DGA,NISSAN,123764.9933,70,,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982EPD,GREAT WALL HAVAL GWM,127584.0177,70,630.0,Preventivo,3%,0,30/05/2025
2982FAG,GREAT WALL HAVAL GWM,141855.9921,72,,Preventivo,3%,0,30/05/2025
2982FFC,GREAT WALL HAVAL GWM,145196.0175,72,-63.0,Preventivo,4%,0,30/05/2025
2982FAG,GREAT WALL HAVAL GWM,147179.992,73,332.0,Preventivo,4%,0,30/05/2025
4003SSF,NISSAN,159760.9928,74,,Preventivo,3%,0,30/05/2025
3159BLP,NISSAN,219857.0164,81,262.0,Preventivo,15%,0,30/05/2025
3159BLP,NISSAN,219857.0164,81,262.0,Preventivo,15%,0,30/05/2025
3159BLP,NISSAN,219857.0164,81,,Preventivo,12%,0,30/05/2025
1778EFI,NISSAN,248981.0042,85,628.0,Correctivo,77%,0,30/05/2025
1778EFI,NISSAN,248981.0042,85,628.0,Correctivo,77%,0,30/05/2025
